pair,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color,fname,frame,rawLocX,rawLocY,icFullFrameX,icFullFrameY,Count,color
62,JNCE_2016026_00C00060_V01.IMG.gz,14,494.49998996477393,5207.7601517606045,698.7601517606045,494.49998996477393,2,2,JNCE_2016026_00C00060_V01.IMG.gz,16,493.5000128527915,5774.500000156741,470.50000015674135,493.5000128527915,1,3
63,JNCE_2016026_00C00060_V01.IMG.gz,53,89.5,20250.959118779047,792.959118779048,89.5,2,1,JNCE_2016026_00C00060_V01.IMG.gz,54,94.50000263419845,20548.49999694433,679.4999969443298,94.50000263419845,1,2
64,JNCE_2016026_00C00061_V01.IMG.gz,7,853.4999702944301,2619.306646357241,825.3066463572409,853.4999702944301,2,1,JNCE_2016026_00C00061_V01.IMG.gz,8,853.5000070011139,2914.3693393984813,709.3693393984814,853.5000070011139,2,2
65,JNCE_2016026_00C00061_V01.IMG.gz,7,853.4999702944301,2619.306646357241,825.3066463572409,853.4999702944301,2,1,JNCE_2016026_00C00061_V01.IMG.gz,10,852.4999831192157,3479.18732690958,479.1873269095801,852.4999831192157,2,3
66,JNCE_2016026_00C00061_V01.IMG.gz,8,853.5000070011139,2914.3693393984813,709.3693393984814,853.5000070011139,2,2,JNCE_2016026_00C00061_V01.IMG.gz,10,852.4999831192157,3479.18732690958,479.1873269095801,852.4999831192157,2,3
67,JNCE_2016026_00C00061_V01.IMG.gz,15,1064.4999858605818,5689.835335143046,823.8353351430461,1064.4999858605818,2,1,JNCE_2016026_00C00061_V01.IMG.gz,16,1062.499976754366,5985.275984775642,708.2759847756421,1062.499976754366,2,2
68,JNCE_2016026_00C00061_V01.IMG.gz,15,1064.4999858605818,5689.835335143046,823.8353351430461,1064.4999858605818,2,1,JNCE_2016026_00C00061_V01.IMG.gz,18,1061.8093455686624,6551.088433275055,479.0884332750551,1061.8093455686624,4,3
69,JNCE_2016026_00C00061_V01.IMG.gz,16,1062.499976754366,5985.275984775642,708.2759847756421,1062.499976754366,2,2,JNCE_2016026_00C00061_V01.IMG.gz,18,1061.8093455686624,6551.088433275055,479.0884332750551,1061.8093455686624,4,3
70,JNCE_2016026_00C00061_V01.IMG.gz,51,671.5000044412351,19467.499999444844,777.4999994448456,671.5000044412351,1,1,JNCE_2016026_00C00061_V01.IMG.gz,52,672.5000346781793,19762.834931350175,661.8349313501747,672.5000346781793,2,2
71,JNCE_2016026_00C00061_V01.IMG.gz,51,671.5000044412351,19467.499999444844,777.4999994448456,671.5000044412351,1,1,JNCE_2016026_00C00061_V01.IMG.gz,53,672.5000008612882,20058.94747966918,546.9474796691801,672.5000008612882,2,3
72,JNCE_2016026_00C00061_V01.IMG.gz,52,672.5000346781793,19762.834931350175,661.8349313501747,672.5000346781793,2,2,JNCE_2016026_00C00061_V01.IMG.gz,53,672.5000008612882,20058.94747966918,546.9474796691801,672.5000008612882,2,3
73,JNCE_2016026_00C00061_V01.IMG.gz,75,1356.4999596781443,28769.860069460003,863.8600694600021,1356.4999596781443,2,1,JNCE_2016026_00C00061_V01.IMG.gz,77,1348.4999523059475,29336.49999940133,635.4999994013299,1348.4999523059475,1,2
74,JNCE_2016026_00C00061_V01.IMG.gz,75,1356.4999596781443,28769.860069460003,863.8600694600021,1356.4999596781443,2,1,JNCE_2016026_00C00061_V01.IMG.gz,78,1348.5000081842632,29634.49999815194,522.4999981519406,1348.5000081842632,1,3
75,JNCE_2016026_00C00061_V01.IMG.gz,77,1348.4999523059475,29336.49999940133,635.4999994013299,1348.4999523059475,1,2,JNCE_2016026_00C00061_V01.IMG.gz,78,1348.5000081842632,29634.49999815194,522.4999981519406,1348.5000081842632,1,3
76,JNCE_2016026_00C00062_V01.IMG.gz,11,853.6064780884012,4144.499999666076,814.4999996660758,853.6064780884012,2,1,JNCE_2016026_00C00062_V01.IMG.gz,12,853.382131466491,4439.500000949559,698.5000009495591,853.382131466491,2,2
77,JNCE_2016026_00C00062_V01.IMG.gz,11,853.6064780884012,4144.499999666076,814.4999996660758,853.6064780884012,2,1,JNCE_2016026_00C00062_V01.IMG.gz,14,852.8442234134516,5004.500000114149,468.5000001141486,852.8442234134516,2,3
78,JNCE_2016026_00C00062_V01.IMG.gz,12,853.382131466491,4439.500000949559,698.5000009495591,853.382131466491,2,2,JNCE_2016026_00C00062_V01.IMG.gz,14,852.8442234134516,5004.500000114149,468.5000001141486,852.8442234134516,2,3
79,JNCE_2016026_00C00062_V01.IMG.gz,19,1064.1611245072238,7215.017592457,813.0175924570001,1064.1611245072238,4,1,JNCE_2016026_00C00062_V01.IMG.gz,20,1062.5000339433516,7510.544304347239,697.5443043472386,1062.5000339433516,3,2
80,JNCE_2016026_00C00062_V01.IMG.gz,19,1064.1611245072238,7215.017592457,813.0175924570001,1064.1611245072238,4,1,JNCE_2016026_00C00062_V01.IMG.gz,22,1062.124922456206,8076.370246317268,468.3702463172674,1062.124922456206,3,3
81,JNCE_2016026_00C00062_V01.IMG.gz,20,1062.5000339433516,7510.544304347239,697.5443043472386,1062.5000339433516,3,2,JNCE_2016026_00C00062_V01.IMG.gz,22,1062.124922456206,8076.370246317268,468.3702463172674,1062.124922456206,3,3
82,JNCE_2016026_00C00062_V01.IMG.gz,54,670.5000228648425,20724.500005373764,882.5000053737648,670.5000228648425,1,1,JNCE_2016026_00C00062_V01.IMG.gz,56,672.5000010519653,21288.156677329727,651.156677329729,672.5000010519653,2,2
83,JNCE_2016026_00C00062_V01.IMG.gz,54,670.5000228648425,20724.500005373764,882.5000053737648,670.5000228648425,1,1,JNCE_2016026_00C00062_V01.IMG.gz,57,672.5000120828886,21584.500002058565,536.5000020585662,672.5000120828886,1,3
84,JNCE_2016026_00C00062_V01.IMG.gz,56,672.5000010519653,21288.156677329727,651.156677329729,672.5000010519653,2,2,JNCE_2016026_00C00062_V01.IMG.gz,57,672.5000120828886,21584.500002058565,536.5000020585662,672.5000120828886,1,3
